control_value,R,G,B,W
0.471,1283,1149,1080,3430
0.472,1283,1149,1081,3431
0.473,1283,1150,1082,3433
0.474,1282,1150,1083,3434
0.475,1282,1151,1083,3434
0.476,1282,1151,1084,3437
0.477,1282,1153,1086,3440
0.478,1282,1153,1086,3440
0.479,1282,1153,1087,3442
0.48,1282,1154,1088,3442
0.481,1282,1154,1088,3444
0.482,1282,1155,1090,3445
0.483,1282,1155,1090,3446
0.484,1281,1156,1091,3448
0.485,1281,1157,1093,3451
0.486,1281,1157,1093,3451
0.487,1281,1157,1094,3452
0.488,1281,1158,1095,3454
0.489,1281,1158,1095,3454
0.49,1281,1159,1097,3457
0.491,1281,1160,1098,3460
0.492,1281,1160,1098,3460
0.493,1280,1161,1099,3461
0.494,1280,1161,1100,3462
0.495,1280,1162,1101,3464
0.496,1280,1162,1102,3465
0.497,1280,1162,1102,3466
0.498,1280,1163,1104,3468
0.499,1280,1164,1105,3471
0.5,1280,1165,1106,3472
0.501,1278,1168,1112,3480
0.502,1276,1170,1116,3485
0.503,1276,1170,1116,3485
0.504,1275,1171,1117,3486
0.505,1275,1171,1117,3487
0.506,1274,1171,1118,3488
0.507,1274,1172,1119,3488
0.508,1274,1172,1119,3489
0.509,1273,1172,1121,3491
0.51,1272,1173,1122,3492
0.511,1272,1173,1122,3492
0.512,1271,1173,1123,3493
0.513,1271,1174,1124,3494
0.514,1270,1174,1124,3494
0.515,1270,1174,1126,3496
0.516,1269,1175,1127,3497
0.517,1269,1175,1127,3498
0.518,1268,1176,1128,3498
0.519,1268,1176,1129,3499
0.52,1267,1176,1130,3500
0.521,1267,1177,1131,3501
0.522,1266,1177,1131,3501
0.523,1266,1177,1132,3503
0.524,1265,1178,1134,3504
0.525,1265,1178,1134,3504
0.526,1264,1179,1135,3505
0.527,1264,1179,1135,3506
0.528,1263,1179,1136,3506
0.529,1263,1180,1137,3508
0.53,1261,1180,1139,3510
0.531,1262,1180,1139,3510
0.532,1261,1181,1140,3511
0.533,1261,1181,1141,3512
0.534,1260,1181,1141,3512
0.535,1259,1182,1142,3513
0.536,1258,1183,1144,3515
0.537,1258,1183,1144,3515
0.538,1258,1183,1145,3516
0.539,1257,1183,1145,3516
0.54,1257,1183,1146,3517
0.541,1256,1184,1147,3519
0.542,1256,1185,1148,3520
0.543,1255,1185,1149,3521
0.544,1255,1186,1150,3523
0.545,1254,1186,1151,3523
0.546,1254,1186,1151,3523
0.547,1253,1186,1152,3523
0.548,1253,1186,1152,3524
0.549,1252,1187,1154,3525
0.55,1252,1187,1154,3526
0.551,1251,1188,1156,3528
0.552,1250,1188,1157,3529
0.553,1250,1189,1157,3529
0.554,1249,1189,1158,3530
0.555,1248,1190,1159,3531
0.556,1248,1190,1160,3532
0.557,1248,1190,1160,3532
0.558,1247,1190,1162,3533
0.559,1246,1191,1163,3535
0.56,1246,1191,1163,3535
0.561,1246,1192,1164,3536
0.562,1245,1192,1165,3537
0.563,1245,1192,1165,3537
0.564,1244,1193,1166,3538
0.565,1243,1193,1167,3539
0.566,1243,1193,1168,3540
0.567,1243,1194,1169,3541
0.568,1242,1194,1170,3542
0.569,1242,1194,1170,3542
0.57,1241,1195,1171,3544
0.571,1240,1195,1173,3545
0.572,1240,1196,1173,3545
0.573,1239,1196,1174,3546
0.574,1239,1196,1174,3547
0.575,1238,1196,1175,3547
0.576,1238,1197,1176,3549
0.577,1237,1197,1177,3550
0.578,1237,1198,1178,3551
0.579,1237,1198,1178,3550
0.58,1236,1198,1179,3551
0.581,1236,1198,1178,3550
0.582,1235,1199,1180,3552
0.583,1234,1200,1182,3555
0.584,1234,1200,1183,3555
0.585,1233,1200,1183,3556
0.586,1233,1201,1184,3557
0.587,1231,1201,1186,3558
0.588,1232,1201,1186,3558
0.589,1231,1202,1187,3560
0.59,1230,1202,1187,3560
0.591,1230,1202,1188,3561
0.592,1229,1202,1189,3561
0.593,1229,1203,1190,3563
0.594,1228,1203,1190,3563
0.595,1228,1204,1191,3564
0.596,1227,1204,1192,3565
0.597,1227,1204,1193,3565
0.598,1226,1205,1194,3567
0.599,1226,1205,1194,3567
0.6,1225,1206,1196,3569
0.601,1224,1206,1197,3570
0.602,1225,1206,1197,3571
0.603,1223,1207,1198,3572
0.604,1222,1207,1200,3573
0.605,1222,1208,1200,3573
0.606,1222,1208,1201,3574
0.607,1221,1208,1202,3575
0.608,1220,1209,1203,3576
0.609,1220,1209,1203,3576
0.61,1219,1209,1204,3577
0.611,1219,1210,1205,3578
0.612,1218,1210,1205,3578
0.613,1218,1210,1206,3580
0.614,1218,1210,1207,3580
0.615,1217,1211,1208,3581
0.616,1216,1211,1209,3582
0.617,1216,1212,1210,3583
0.618,1215,1212,1210,3584
0.619,1215,1212,1211,3584
0.62,1215,1212,1211,3585
0.621,1214,1213,1213,3586
0.622,1213,1213,1214,3587
0.623,1213,1214,1214,3588
0.624,1212,1214,1215,3588
0.625,1212,1214,1216,3589
0.626,1212,1214,1216,3590
0.627,1211,1215,1218,3591
0.628,1210,1216,1219,3592
0.629,1210,1216,1219,3593
0.63,1209,1216,1220,3594
0.631,1209,1217,1221,3594
0.632,1208,1217,1221,3595
0.633,1207,1217,1222,3596
0.634,1208,1217,1222,3596
0.635,1207,1217,1223,3597
0.636,1206,1218,1224,3598
0.637,1206,1218,1225,3598
0.638,1205,1218,1225,3599
0.639,1205,1219,1226,3600
0.64,1205,1219,1227,3600
0.641,1203,1220,1228,3601
0.642,1203,1220,1229,3602
0.643,1202,1220,1229,3602
0.644,1202,1220,1230,3603
0.645,1201,1221,1231,3604
0.646,1200,1222,1233,3606
0.647,1200,1222,1233,3606
0.648,1200,1222,1234,3607
0.649,1199,1222,1234,3608
0.65,1199,1222,1235,3608
0.651,1198,1223,1237,3610
0.652,1197,1224,1238,3611
0.653,1197,1224,1238,3611
0.654,1196,1224,1239,3613
0.655,1195,1225,1240,3614
0.656,1195,1225,1241,3614
0.657,1195,1225,1241,3614
0.658,1194,1226,1242,3616
0.659,1193,1226,1244,3617
0.66,1193,1226,1244,3617
0.661,1192,1227,1245,3618
0.662,1192,1227,1245,3619
0.663,1192,1227,1246,3619
0.664,1191,1228,1247,3620
0.665,1190,1228,1249,3622
0.666,1190,1228,1249,3622
0.667,1189,1229,1250,3623
0.668,1189,1229,1250,3624
0.669,1188,1229,1251,3624
0.67,1187,1230,1252,3625
0.671,1186,1230,1253,3627
0.672,1187,1230,1253,3627
0.673,1186,1231,1254,3628
0.674,1185,1231,1255,3628
0.675,1185,1231,1255,3629
0.676,1184,1232,1256,3630
0.677,1183,1232,1258,3631
0.678,1183,1232,1258,3631
0.679,1183,1233,1259,3632
0.68,1182,1233,1260,3633
0.681,1182,1233,1260,3633
0.682,1181,1234,1261,3634
0.683,1180,1234,1263,3636
0.684,1180,1234,1263,3636
0.685,1179,1235,1264,3637
0.686,1179,1235,1264,3637
0.687,1179,1235,1265,3638
0.688,1178,1236,1266,3639
0.689,1178,1236,1266,3639
0.69,1177,1236,1267,3640
0.691,1176,1237,1268,3641
0.692,1176,1237,1269,3642
0.693,1175,1237,1269,3643
0.694,1175,1238,1270,3644
0.695,1175,1238,1271,3644
0.696,1174,1238,1272,3645
0.697,1173,1239,1273,3646
0.698,1173,1239,1274,3647
0.699,1172,1239,1274,3647
0.7,1171,1240,1275,3648
0.701,1171,1240,1276,3649
0.702,1170,1241,1278,3651
0.703,1169,1241,1278,3651
0.704,1169,1241,1279,3652
0.705,1169,1242,1280,3653
0.706,1168,1242,1280,3653
0.707,1167,1242,1281,3654
0.708,1166,1243,1283,3656
0.709,1166,1243,1283,3656
0.71,1166,1243,1284,3657
0.711,1165,1244,1285,3658
0.712,1165,1244,1285,3658
0.713,1164,1244,1286,3659
0.714,1163,1245,1287,3660
0.715,1163,1245,1288,3660
0.716,1162,1245,1289,3662
0.717,1162,1246,1289,3662
0.718,1162,1246,1290,3662
0.719,1161,1246,1291,3664
0.72,1160,1247,1292,3665
0.721,1160,1247,1292,3665
0.722,1159,1247,1294,3667
0.723,1159,1248,1294,3667
0.724,1158,1248,1295,3667
0.725,1158,1248,1296,3669
0.726,1157,1248,1296,3668
0.727,1157,1249,1297,3670
0.728,1156,1250,1298,3671
0.729,1156,1250,1298,3671
0.73,1155,1250,1299,3672
0.731,1154,1250,1300,3673
0.732,1154,1251,1301,3673
0.733,1153,1251,1302,3674
0.734,1153,1251,1302,3674
0.735,1152,1252,1303,3676
0.736,1151,1252,1304,3677
0.737,1151,1252,1305,3677
0.738,1151,1253,1306,3678
0.739,1150,1253,1306,3679
0.74,1150,1253,1307,3679
0.741,1149,1253,1308,3680
0.742,1149,1254,1308,3680
0.743,1148,1254,1309,3682
0.744,1147,1255,1311,3683
0.745,1147,1255,1311,3684
0.746,1147,1255,1312,3684
0.747,1146,1256,1312,3685
0.748,1146,1256,1312,3685
0.749,1145,1256,1314,3687
0.75,1144,1257,1315,3688
0.751,1144,1257,1316,3688
0.752,1143,1258,1317,3690
0.753,1142,1258,1318,3691
0.754,1142,1258,1319,3691
0.755,1141,1259,1319,3692
0.756,1141,1259,1320,3692
0.757,1140,1259,1321,3693
0.758,1140,1259,1322,3694
0.759,1140,1260,1322,3694
0.76,1139,1260,1323,3696
0.761,1138,1261,1324,3697
0.762,1138,1261,1325,3697
0.763,1137,1261,1325,3698
0.764,1136,1261,1326,3698
0.765,1136,1262,1327,3699
0.766,1135,1262,1328,3700
0.767,1135,1262,1328,3700
0.768,1134,1263,1329,3702
0.769,1134,1263,1330,3702
0.77,1133,1263,1331,3703
0.771,1133,1263,1331,3703
0.772,1132,1264,1332,3704
0.773,1132,1264,1333,3705
0.774,1131,1265,1334,3706
0.775,1131,1265,1334,3706
0.776,1130,1265,1335,3707
0.777,1130,1265,1336,3708
0.778,1129,1266,1337,3709
0.779,1128,1266,1338,3710
0.78,1128,1266,1338,3710
0.781,1127,1267,1339,3711
0.782,1127,1267,1340,3711
0.783,1126,1268,1341,3713
0.784,1126,1268,1341,3713
0.785,1125,1268,1342,3714
0.786,1125,1268,1343,3714
0.787,1125,1268,1343,3715
0.788,1124,1269,1344,3716
0.789,1123,1270,1346,3717
0.79,1123,1270,1346,3717
0.791,1122,1270,1347,3718
0.792,1121,1270,1347,3718
0.793,1121,1270,1348,3719
0.794,1120,1271,1349,3719
0.795,1120,1271,1349,3720
0.796,1119,1271,1350,3722
0.797,1118,1272,1352,3723
